<NUMBER OF ZONES> 4											
<NUMBER OF NODES> 13												
<FIRST THRU NODE> 1												
<NUMBER OF LINKS> 19												
<END OF METADATA>												
												
												
~ 	Init node 	Term node 	Capacity 	Length 	Free Flow Time 	B	Power	Speed limit 	Toll 	Type	cost	
	1	5	300	1	7	0.15	4	0	0	1	0.1	;
	1	12	200	1	9	0.15	4	0	0	1	0.15	;
	4	5	200	1	9	0.15	4	0	0	1	0.25	;
	4	9	200	1	12	0.15	4	0	0	1	0.2	;
	5	6	350	1	3	0.15	4	0	0	1	0.45	;
	5	9	400	1	9	0.15	4	0	0	1	0.05	;
	6	7	500	1	5	0.15	4	0	0	1	0.2	;
	6	10	250	1	13	0.15	4	0	0	1	0.15	;
	7	8	250	1	5	0.15	4	0	0	1	0.1	;
	7	11	300	1	9	0.15	4	0	0	1	0.25	;
	8	2	500	1	9	0.15	4	0	1	1	0.3	;
	9	10	550	1	10	0.15	4	0	0	1	0.4	;
	9	13	200	1	9	0.15	4	0	0	1	0.25	;
	10	11	400	1	6	0.15	4	0	0	1	0.15	;
	11	2	300	1	9	0.15	4	0	0	1	0.3	;
	11	3	300	1	8	0.15	4	0	1	1	0.05	;
	12	6	200	1	7	0.15	4	0	0	1	0.15	;
	12	8	300	1	14	0.15	4	0	0	1	0.3	;
	13	3	200	1	11	0.15	4	0	1	1	0.05	;
