	init_node	term_node	free_flow_time	b	capacity	power	d
1	1	2	0.06	0.15	25.9002	4	
2	1	3	0.04	0.15	23.4035	4	
3	2	1	0.06	0.15	25.9002	4	
4	2	6	0.05	0.15	4.9582	4	
5	3	1	0.04	0.15	23.4035	4	
6	3	4	0.04	0.15	17.1105	4	
7	3	12	0.04	0.15	23.4035	4	
8	4	3	0.04	0.15	17.1105	4	
9	4	5	0.02	0.15	17.7828	4	
10	4	11	0.06	0.15	4.9088	4	
11	5	4	0.02	0.15	17.7828	4	
12	5	6	0.04	0.15	4.948	4	
13	5	9	0.05	0.15	10	4	
14	6	2	0.05	0.15	4.9582	4	
15	6	5	0.04	0.15	4.948	4	
16	6	8	0.02	0.15	4.8986	4	26
17	7	8	0.03	0.15	7.8418	4	40
18	7	18	0.02	0.15	23.4035	4	
19	8	6	0.02	0.15	4.8986	4	26
20	8	7	0.03	0.15	7.8418	4	40
21	8	9	0.1	0.15	5.0502	4	
22	8	16	0.05	0.15	5.0458	4	
23	9	5	0.05	0.15	10	4	
24	9	8	0.1	0.15	5.0502	4	
25	9	10	0.03	0.15	13.9158	4	25
26	10	9	0.03	0.15	13.9158	4	25
27	10	11	0.05	0.15	10	4	
28	10	15	0.06	0.15	13.512	4	
29	10	16	0.05	0.15	5.1335	4	48
30	10	17	0.08	0.15	4.9935	4	
31	11	4	0.06	0.15	4.9088	4	
32	11	10	0.05	0.15	10	4	
33	11	12	0.06	0.15	4.9088	4	
34	11	14	0.04	0.15	4.8765	4	
35	12	3	0.04	0.15	23.4035	4	
36	12	11	0.06	0.15	4.9088	4	
37	12	13	0.03	0.15	25.9002	4	
38	13	12	0.03	0.15	25.9002	4	
39	13	24	0.04	0.15	5.0913	4	34
40	14	11	0.04	0.15	4.8765	4	
41	14	15	0.05	0.15	5.1275	4	
42	14	23	0.04	0.15	4.9248	4	
43	15	10	0.06	0.15	13.512	4	
44	15	14	0.05	0.15	5.1275	4	
45	15	19	0.04	0.15	15.6508	4	
46	15	22	0.04	0.15	10.315	4	
47	16	8	0.05	0.15	5.0458	4	
48	16	10	0.05	0.15	5.1335	4	48
49	16	17	0.02	0.15	5.2299	4	
50	16	18	0.03	0.15	19.6799	4	
51	17	10	0.08	0.15	4.9935	4	
52	17	16	0.02	0.15	5.2299	4	
53	17	19	0.02	0.15	4.824	4	
54	18	7	0.02	0.15	23.4035	4	
55	18	16	0.03	0.15	19.6799	4	
56	18	20	0.04	0.15	23.4035	4	
57	19	15	0.04	0.15	15.6508	4	
58	19	17	0.02	0.15	4.824	4	
59	19	20	0.04	0.15	5.0026	4	
60	20	18	0.04	0.15	23.4035	4	
61	20	19	0.04	0.15	5.0026	4	
62	20	21	0.06	0.15	5.0599	4	
63	20	22	0.05	0.15	5.0757	4	
64	21	20	0.06	0.15	5.0599	4	
65	21	22	0.02	0.15	5.2299	4	
66	21	24	0.03	0.15	4.8854	4	
67	22	15	0.04	0.15	10.315	4	
68	22	20	0.05	0.15	5.0757	4	
69	22	21	0.02	0.15	5.2299	4	
70	22	23	0.04	0.15	5	4	
71	23	14	0.04	0.15	4.9248	4	
72	23	22	0.04	0.15	5	4	
73	23	24	0.02	0.15	5.0785	4	
74	24	13	0.04	0.15	5.0913	4	34
75	24	21	0.03	0.15	4.8854	4	
76	24	23	0.02	0.15	5.0785	4	
